Color,RGB,Hex
Black,0 0 0,000000
Valhalla,34 32 52,222034
Loulou,69 40 60,45283C
Oiled Cedar,102 57 49,663931
Rope,143 86 59,8F563B
Tahiti Gold,223 113 38,DF7126
Twine,217 160 102,D9A066
Pancho,238 195 154,EEC39A
Golden Fizz,251 242 54,FBF236
Atlantis,153 229 80,99E550
Christi,106 190 48,6ABE30
Elf Green,55 148 110,37946E
Dell,75 105 47,4B692F
Verdigris,82 75 36,524B24
Opal,50 60 57,323C39
Deep Koamaru,63 63 116,3F3F74
Venice Blue,48 96 130,306082
Royal Blue,91 110 225,5B6EE1
Cornflower,99 155 255,639BFF
Viking,95 205 228,5FCDE4
Light Steel Blue,203 219 252,CBDBFC
White,255 255 255,FFFFFF
Heather,155 173 183,9BADB7
Topaz,132 126 135,847E87
Dim Gray,105 106 106,696A6A
Smokey Ash,89 86 82,595652
Clairvoyant,118 66 138,76428A
Brown,172 50 50,AC3232
Mandy,217 87 99,D95763
Plum,215 123 186,D77BBA
Rainforest,143 151 74,8F974A
Stinger,138 111 48,8A6F30
